
Iter: 69, recon_loss: 2.1209, ce_loss: 0.2872, acc: 0.8820, mse: 0.0006, val_loss: 0.2965, val_acc: 0.8862, test_acc: 0.8873, test_auc: 0.9514
Iter: 70, recon_loss: 2.2865, ce_loss: 0.3010, acc: 0.8729, mse: 0.0006, val_loss: 0.3084, val_acc: 0.8850, test_acc: 0.8845, test_auc: 0.9504
Iter: 71, recon_loss: 2.3649, ce_loss: 0.2979, acc: 0.8724, mse: 0.0006, val_loss: 0.3110, val_acc: 0.8838, test_acc: 0.8864, test_auc: 0.9496
Iter: 72, recon_loss: 2.2009, ce_loss: 0.2878, acc: 0.8779, mse: 0.0006, val_loss: 0.3009, val_acc: 0.8885, test_acc: 0.8920, test_auc: 0.9486
Iter: 73, recon_loss: 2.1890, ce_loss: 0.2909, acc: 0.8762, mse: 0.0006, val_loss: 0.2914, val_acc: 0.8838, test_acc: 0.8930, test_auc: 0.9531
Iter: 74, recon_loss: 2.2171, ce_loss: 0.2927, acc: 0.8750, mse: 0.0006, val_loss: 0.3144, val_acc: 0.8791, test_acc: 0.8939, test_auc: 0.9513
Iter: 75, recon_loss: 2.2299, ce_loss: 0.2821, acc: 0.8800, mse: 0.0006, val_loss: 0.3037, val_acc: 0.8815, test_acc: 0.8967, test_auc: 0.9526
Iter: 76, recon_loss: 2.6916, ce_loss: 0.3165, acc: 0.8677, mse: 0.0006, val_loss: 0.3187, val_acc: 0.8791, test_acc: 0.8864, test_auc: 0.9476
Iter: 77, recon_loss: 3.0437, ce_loss: 0.3745, acc: 0.8392, mse: 0.0007, val_loss: 0.3302, val_acc: 0.8721, test_acc: 0.8892, test_auc: 0.9495
Iter: 78, recon_loss: 2.0386, ce_loss: 0.2994, acc: 0.8762, mse: 0.0005, val_loss: 0.3125, val_acc: 0.8744, test_acc: 0.8854, test_auc: 0.9495
Iter: 79, recon_loss: 2.0592, ce_loss: 0.2921, acc: 0.8729, mse: 0.0005, val_loss: 0.3106, val_acc: 0.8768, test_acc: 0.8911, test_auc: 0.9533
Iter: 80, recon_loss: 2.1034, ce_loss: 0.2843, acc: 0.8815, mse: 0.0005, val_loss: 0.3085, val_acc: 0.8791, test_acc: 0.8977, test_auc: 0.9515
Iter: 81, recon_loss: 2.0932, ce_loss: 0.2811, acc: 0.8815, mse: 0.0006, val_loss: 0.3085, val_acc: 0.8885, test_acc: 0.8939, test_auc: 0.9520
Iter: 82, recon_loss: 2.3309, ce_loss: 0.2872, acc: 0.8750, mse: 0.0006, val_loss: 0.3137, val_acc: 0.8779, test_acc: 0.8939, test_auc: 0.9529
Iter: 83, recon_loss: 2.2785, ce_loss: 0.2793, acc: 0.8829, mse: 0.0006, val_loss: 0.3073, val_acc: 0.8838, test_acc: 0.8920, test_auc: 0.9556
Iter: 84, recon_loss: 2.3810, ce_loss: 0.2819, acc: 0.8803, mse: 0.0006, val_loss: 0.2971, val_acc: 0.8779, test_acc: 0.8911, test_auc: 0.9512
Iter: 85, recon_loss: 2.2179, ce_loss: 0.2818, acc: 0.8812, mse: 0.0006, val_loss: 0.3077, val_acc: 0.8791, test_acc: 0.8986, test_auc: 0.9556
Iter: 86, recon_loss: 2.3175, ce_loss: 0.2878, acc: 0.8800, mse: 0.0006, val_loss: 0.3514, val_acc: 0.8627, test_acc: 0.8845, test_auc: 0.9468
Iter: 87, recon_loss: 2.1978, ce_loss: 0.2852, acc: 0.8823, mse: 0.0006, val_loss: 0.3000, val_acc: 0.8779, test_acc: 0.8901, test_auc: 0.9558
Iter: 88, recon_loss: 2.5840, ce_loss: 0.2940, acc: 0.8738, mse: 0.0006, val_loss: 0.3198, val_acc: 0.8756, test_acc: 0.8930, test_auc: 0.9538
Iter: 89, recon_loss: 2.3601, ce_loss: 0.2848, acc: 0.8785, mse: 0.0006, val_loss: 0.2940, val_acc: 0.8826, test_acc: 0.8977, test_auc: 0.9548
Iter: 90, recon_loss: 2.3503, ce_loss: 0.2805, acc: 0.8812, mse: 0.0006, val_loss: 0.3170, val_acc: 0.8791, test_acc: 0.8939, test_auc: 0.9493
Iter: 91, recon_loss: 2.4929, ce_loss: 0.2964, acc: 0.8773, mse: 0.0006, val_loss: 0.3147, val_acc: 0.8732, test_acc: 0.8901, test_auc: 0.9512
Iter: 92, recon_loss: 2.3491, ce_loss: 0.3039, acc: 0.8732, mse: 0.0006, val_loss: 0.3188, val_acc: 0.8709, test_acc: 0.8836, test_auc: 0.9545
Iter: 93, recon_loss: 2.4241, ce_loss: 0.2936, acc: 0.8785, mse: 0.0006, val_loss: 0.3090, val_acc: 0.8803, test_acc: 0.8901, test_auc: 0.9550
Iter: 94, recon_loss: 2.2926, ce_loss: 0.2833, acc: 0.8832, mse: 0.0006, val_loss: 0.3095, val_acc: 0.8826, test_acc: 0.8864, test_auc: 0.9531
Iter: 95, recon_loss: 2.2939, ce_loss: 0.2775, acc: 0.8820, mse: 0.0006, val_loss: 0.2955, val_acc: 0.8838, test_acc: 0.8958, test_auc: 0.9560
Iter: 96, recon_loss: 2.5973, ce_loss: 0.2931, acc: 0.8782, mse: 0.0006, val_loss: 0.4707, val_acc: 0.8099, test_acc: 0.8150, test_auc: 0.8985
Iter: 97, recon_loss: 2.9506, ce_loss: 0.3098, acc: 0.8700, mse: 0.0006, val_loss: 0.3138, val_acc: 0.8803, test_acc: 0.8901, test_auc: 0.9505
Iter: 98, recon_loss: 2.1908, ce_loss: 0.2851, acc: 0.8759, mse: 0.0005, val_loss: 0.3111, val_acc: 0.8768, test_acc: 0.8977, test_auc: 0.9559
Iter: 99, recon_loss: 2.2291, ce_loss: 0.2790, acc: 0.8817, mse: 0.0005, val_loss: 0.3005, val_acc: 0.8838, test_acc: 0.8873, test_auc: 0.9517
Iter: 100, recon_loss: 2.4032, ce_loss: 0.2789, acc: 0.8788, mse: 0.0006, val_loss: 0.3032, val_acc: 0.8838, test_acc: 0.8939, test_auc: 0.9574
Iter: 101, recon_loss: 2.4004, ce_loss: 0.2748, acc: 0.8794, mse: 0.0006, val_loss: 0.2997, val_acc: 0.8803, test_acc: 0.8986, test_auc: 0.9583
Iter: 102, recon_loss: 2.2862, ce_loss: 0.2777, acc: 0.8809, mse: 0.0006, val_loss: 0.2965, val_acc: 0.8791, test_acc: 0.8967, test_auc: 0.9565
Iter: 103, recon_loss: 2.5552, ce_loss: 0.2820, acc: 0.8803, mse: 0.0006, val_loss: 0.2985, val_acc: 0.8791, test_acc: 0.8977, test_auc: 0.9548
Iter: 104, recon_loss: 2.8866, ce_loss: 0.3035, acc: 0.8718, mse: 0.0006, val_loss: 0.2967, val_acc: 0.8838, test_acc: 0.8920, test_auc: 0.9517
Iter: 105, recon_loss: 2.6193, ce_loss: 0.2959, acc: 0.8738, mse: 0.0006, val_loss: 0.2976, val_acc: 0.8815, test_acc: 0.8948, test_auc: 0.9537
Iter: 106, recon_loss: 2.4141, ce_loss: 0.2768, acc: 0.8812, mse: 0.0006, val_loss: 0.3028, val_acc: 0.8850, test_acc: 0.8967, test_auc: 0.9568
Iter: 107, recon_loss: 2.3930, ce_loss: 0.2789, acc: 0.8809, mse: 0.0006, val_loss: 0.2936, val_acc: 0.8838, test_acc: 0.8873, test_auc: 0.9525
Iter: 108, recon_loss: 2.6683, ce_loss: 0.2779, acc: 0.8820, mse: 0.0006, val_loss: 0.2979, val_acc: 0.8873, test_acc: 0.8986, test_auc: 0.9526
Iter: 109, recon_loss: 2.4525, ce_loss: 0.2717, acc: 0.8823, mse: 0.0006, val_loss: 0.2930, val_acc: 0.8838, test_acc: 0.8911, test_auc: 0.9534
Iter: 110, recon_loss: 2.6592, ce_loss: 0.2774, acc: 0.8838, mse: 0.0006, val_loss: 0.2944, val_acc: 0.8756, test_acc: 0.8967, test_auc: 0.9507
Iter: 111, recon_loss: 3.0495, ce_loss: 0.2971, acc: 0.8744, mse: 0.0006, val_loss: 0.3039, val_acc: 0.8709, test_acc: 0.8958, test_auc: 0.9584
Iter: 112, recon_loss: 2.4801, ce_loss: 0.2703, acc: 0.8826, mse: 0.0006, val_loss: 0.2929, val_acc: 0.8873, test_acc: 0.9033, test_auc: 0.9604
Iter: 113, recon_loss: 2.6094, ce_loss: 0.2845, acc: 0.8812, mse: 0.0006, val_loss: 0.2873, val_acc: 0.8838, test_acc: 0.8930, test_auc: 0.9520
Iter: 114, recon_loss: 2.5747, ce_loss: 0.2797, acc: 0.8820, mse: 0.0006, val_loss: 0.3028, val_acc: 0.8838, test_acc: 0.8948, test_auc: 0.9549
Iter: 115, recon_loss: 2.5473, ce_loss: 0.2725, acc: 0.8806, mse: 0.0006, val_loss: 0.3051, val_acc: 0.8838, test_acc: 0.8911, test_auc: 0.9587
Iter: 116, recon_loss: 2.7678, ce_loss: 0.2761, acc: 0.8823, mse: 0.0006, val_loss: 0.2854, val_acc: 0.8803, test_acc: 0.8948, test_auc: 0.9591
Iter: 117, recon_loss: 2.6920, ce_loss: 0.2725, acc: 0.8800, mse: 0.0006, val_loss: 0.3083, val_acc: 0.8768, test_acc: 0.8920, test_auc: 0.9548
Iter: 118, recon_loss: 2.4819, ce_loss: 0.2662, acc: 0.8838, mse: 0.0006, val_loss: 0.3006, val_acc: 0.8873, test_acc: 0.8995, test_auc: 0.9589
Iter: 119, recon_loss: 2.5648, ce_loss: 0.2666, acc: 0.8862, mse: 0.0006, val_loss: 0.2937, val_acc: 0.8873, test_acc: 0.8958, test_auc: 0.9585
Iter: 120, recon_loss: 2.4692, ce_loss: 0.2693, acc: 0.8859, mse: 0.0006, val_loss: 0.3212, val_acc: 0.8756, test_acc: 0.8967, test_auc: 0.9563
Iter: 121, recon_loss: 2.7757, ce_loss: 0.2847, acc: 0.8776, mse: 0.0006, val_loss: 0.3564, val_acc: 0.8592, test_acc: 0.8854, test_auc: 0.9523
Iter: 122, recon_loss: 3.0670, ce_loss: 0.2881, acc: 0.8779, mse: 0.0006, val_loss: 0.2897, val_acc: 0.8873, test_acc: 0.8958, test_auc: 0.9569
Iter: 123, recon_loss: 2.7008, ce_loss: 0.2735, acc: 0.8809, mse: 0.0006, val_loss: 0.2969, val_acc: 0.8803, test_acc: 0.8967, test_auc: 0.9573
Iter: 124, recon_loss: 2.6474, ce_loss: 0.2699, acc: 0.8823, mse: 0.0006, val_loss: 0.2981, val_acc: 0.8815, test_acc: 0.8958, test_auc: 0.9588
Iter: 125, recon_loss: 2.6484, ce_loss: 0.2662, acc: 0.8844, mse: 0.0006, val_loss: 0.3008, val_acc: 0.8838, test_acc: 0.8948, test_auc: 0.9580
Iter: 126, recon_loss: 2.8567, ce_loss: 0.3159, acc: 0.8685, mse: 0.0006, val_loss: 0.4241, val_acc: 0.8580, test_acc: 0.8789, test_auc: 0.9400
Iter: 127, recon_loss: 3.1131, ce_loss: 0.2963, acc: 0.8738, mse: 0.0006, val_loss: 0.2992, val_acc: 0.8815, test_acc: 0.8939, test_auc: 0.9557
Iter: 128, recon_loss: 2.7817, ce_loss: 0.2692, acc: 0.8838, mse: 0.0006, val_loss: 0.2911, val_acc: 0.8897, test_acc: 0.8892, test_auc: 0.9588
Iter: 129, recon_loss: 2.6316, ce_loss: 0.2612, acc: 0.8903, mse: 0.0006, val_loss: 0.2913, val_acc: 0.8791, test_acc: 0.9005, test_auc: 0.9574
Iter: 130, recon_loss: 2.5897, ce_loss: 0.2645, acc: 0.8864, mse: 0.0006, val_loss: 0.2915, val_acc: 0.8838, test_acc: 0.9005, test_auc: 0.9608
Iter: 131, recon_loss: 2.4986, ce_loss: 0.2655, acc: 0.8850, mse: 0.0006, val_loss: 0.3175, val_acc: 0.8721, test_acc: 0.8948, test_auc: 0.9602
